MethodID,package,class,method,LOC,CYCLO,ATFD,LAA,is_long_method,iPlasma,PMD,is_feature_envy
1,fat,DocumentParseFixture,Output(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
2,fat,DocumentParseFixture,Structure(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
3,fat,DocumentParseFixture,GenerateOutput(Parse),5,1,0,0,FALSE,FALSE,TRUE,FALSE
4,fat,DocumentParseFixture,dumpTables(Parse),11,2,2,0,FALSE,FALSE,FALSE,FALSE
5,fat,DocumentParseFixture,dumpRows(Parse),11,2,2,0,FALSE,FALSE,FALSE,FALSE
6,fat,DocumentParseFixture,dumpCells(Parse),11,2,2,0,FALSE,FALSE,FALSE,FALSE
7,fat,ReferenceFixture,Result(),29,5,5,0.285714,FALSE,FALSE,TRUE,TRUE
8,com.jasml.compiler,GrammerException,GrammerException(int;String),3,1,0,0,FALSE,FALSE,FALSE,FALSE
9,com.jasml.compiler,GrammerException,GrammerException(int;int;int;String),3,1,0,0,FALSE,FALSE,FALSE,FALSE
10,com.jasml.compiler,GrammerException,GrammerException(String;Exception),3,1,0,0,FALSE,FALSE,FALSE,FALSE
11,com.jasml.compiler,GrammerException,GrammerException(int;int;String),3,1,0,0,FALSE,FALSE,FALSE,FALSE
12,com.jasml.compiler,SourceCodeParser,parseMethod(),33,6,10,0.294118,FALSE,FALSE,FALSE,TRUE
13,com.jasml.compiler,SourceCodeParser,parseMethodAttributes(Method;ArrayList;SourceCodeParser.LabeledInstructions;Attribute_Code;ArrayList),48,10,9,0.166667,FALSE,FALSE,FALSE,TRUE
14,com.jasml.compiler,SourceCodeParser,parseMethodInstructions(Method),523,139,56,0.3,TRUE,TRUE,TRUE,TRUE
15,com.jasml.decompiler,SourceCodeBuilder,toString(Attribute_Code;HashSet),257,75,83,0.023529,TRUE,TRUE,TRUE,TRUE
16,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isWeekend(Calendar),5,1,0,0,FALSE,FALSE,FALSE,FALSE
17,org.jfin.date.holiday.defaultimpl,WeekendHolidayCalendar,isHoliday(Calendar),4,1,0,0,FALSE,FALSE,FALSE,FALSE
18,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getHolidayCalendar(String),5,1,0,0,FALSE,FALSE,FALSE,FALSE
19,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getHolidayCalendar(String;Class),12,2,0,0,FALSE,FALSE,TRUE,FALSE
20,org.jfin.date.holiday.defaultimpl,HolidayCalendarFactoryImpl,getAvailableLocales(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
21,org.jfin.date.web.example,PlainSwap,getCurrency(),4,1,0,1,FALSE,FALSE,FALSE,FALSE
22,org.jfin.date,ScheduleGenerator,generateSchedule(Calendar;Calendar;int;int;StubType;Period;int),176,23,9,0.1,TRUE,TRUE,TRUE,TRUE
23,org.cyberneko.html.parsers,DOMParser,DOMParser(),18,3,0,0,FALSE,FALSE,FALSE,FALSE
24,org.cyberneko.html.parsers,DOMParser,doctypeDecl(String;String;String;Augmentations),27,4,1,0,FALSE,FALSE,FALSE,FALSE
25,org.cyberneko.html.parsers,DOMParser,getParserSubVersion(),12,3,1,0,FALSE,FALSE,FALSE,FALSE
26,org.cyberneko.html.parsers,DOMFragmentParser,DOMFragmentParser(),7,1,0,1,FALSE,FALSE,FALSE,FALSE
27,org.cyberneko.html.parsers,DOMFragmentParser,parse(String;DocumentFragment),4,1,0,0,FALSE,FALSE,FALSE,FALSE
28,org.cyberneko.html.parsers,DOMFragmentParser,parse(InputSource;DocumentFragment),30,3,0,1,FALSE,FALSE,TRUE,FALSE
29,org.cyberneko.html,HTMLTagBalancer,startElement(QName;XMLAttributes;Augmentations),206,60,15,0.428571,TRUE,TRUE,TRUE,FALSE
30,org.cyberneko.html,ObjectFactory,createObject(String;String;String),111,21,0,1,TRUE,TRUE,TRUE,FALSE
31,org.cyberneko.html,HTMLConfiguration,setInputSource(XMLInputSource),7,2,19,0.095238,FALSE,FALSE,FALSE,TRUE
32,gnu.trove.benchmark,MemoryUsage,sizeOf(MemoryUsage.Creator),18,3,0,0,FALSE,FALSE,FALSE,FALSE
33,gnu.trove.benchmark,MemoryUsage,getUsedMemory(),8,1,0,0,FALSE,FALSE,FALSE,FALSE
34,gnu.trove.benchmark,MemoryUsage,gc(),14,2,0,0,FALSE,FALSE,FALSE,FALSE
35,gnu.trove.benchmark,MemoryUsage,main(String[]),31,2,0,0,FALSE,FALSE,FALSE,FALSE
36,gnu.trove.benchmark,MemoryUsage.MemoryComparator,MemoryComparator(MemoryUsage.Creator;MemoryUsage.Creator;String),7,1,0,1,FALSE,FALSE,FALSE,FALSE
37,gnu.trove,TLinkedList.IteratorImpl,IteratorImpl(int),22,8,5,0,FALSE,FALSE,FALSE,TRUE
38,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,initialize(Cache;Config),79,3,0,1,FALSE,FALSE,TRUE,FALSE
39,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,finialize(),15,4,0,1,FALSE,FALSE,FALSE,FALSE
40,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,sendNotification(ClusterNotification),12,2,0,1,FALSE,FALSE,FALSE,FALSE
41,com.opensymphony.oscache.plugins.clustersupport,JMSBroadcastingListener,getInitialContext(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
42,com.opensymphony.oscache.plugins.clustersupport,com.opensymphony.oscache.plugins.clustersupport.JMSBroadcastingListener$1,onMessage(Message),32,6,2,0,FALSE,FALSE,FALSE,FALSE
43,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,put(Object;Object;boolean),134,22,0,0.636364,TRUE,TRUE,TRUE,FALSE
44,com.opensymphony.oscache.base.algorithm,AbstractConcurrentReadCache,remove(Object;boolean;boolean),122,24,3,0.5,TRUE,TRUE,TRUE,FALSE
45,org.quilt.reg,Registry,Registry(),4,1,0,1,FALSE,FALSE,FALSE,FALSE
46,org.quilt.reg,Registry,clear(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
47,org.quilt.reg,Registry,comparator(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
48,org.quilt.reg,Registry,containsKey(String[]),6,2,0,1,FALSE,FALSE,FALSE,FALSE
49,org.quilt.reg,Registry,get(String[]),10,3,0,1,FALSE,FALSE,FALSE,FALSE
50,org.quilt.cl,GraphTransformer,makeGraph(ClassGen;MethodGen),181,29,10,0.166667,TRUE,TRUE,TRUE,TRUE
51,org.quilt.cover.stmt,GraphAction.LampLighter,discoverEdge(Edge),110,20,14,0.066667,TRUE,TRUE,TRUE,TRUE
52,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,GraphXmlSerializer(GraphPlugin;ISession;GraphMainPanelTab;String),22,3,1,0.75,FALSE,FALSE,FALSE,FALSE
53,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,write(GraphControllerXmlBean),18,2,1,0.75,FALSE,FALSE,FALSE,FALSE
54,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,read(),13,2,0,1,FALSE,FALSE,TRUE,FALSE
55,net.sourceforge.squirrel_sql.plugins.graph.xmlbeans,GraphXmlSerializer,getFileName(String;String;String),13,2,0,1,FALSE,FALSE,FALSE,FALSE
56,net.sourceforge.squirrel_sql.plugins.graph,ConstraintData,replaceCopiedColsByReferences(ColumnInfo[];boolean),23,5,6,0.142857,FALSE,FALSE,FALSE,TRUE
57,jparse.expr,BooleanLiteralAST,BooleanLiteralAST(Token),5,1,1,0.666667,FALSE,FALSE,FALSE,FALSE
58,jparse.expr,BooleanLiteralAST,computeType(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
59,jparse.expr,BooleanLiteralAST,computeExceptions(),3,1,0,1,FALSE,FALSE,TRUE,FALSE
60,jparse.expr,BooleanLiteralAST,computeValue(),3,1,0,1,FALSE,FALSE,FALSE,FALSE
61,jparse.expr,BooleanLiteralAST,getVarList(),3,1,0,0,FALSE,FALSE,FALSE,FALSE
62,jparse,JavaParser,compilationUnit(),119,32,4,0.833333,TRUE,TRUE,TRUE,FALSE
63,jparse,JavaParser,field(),267,37,4,0.8,TRUE,TRUE,TRUE,FALSE
64,net.sf.jmoney.io,MT940,MT940(MainFrame;AccountChooser),6,1,0,1,FALSE,FALSE,FALSE,FALSE
65,net.sf.jmoney.io,MT940,importFile(Session;File),16,3,0,1,FALSE,FALSE,FALSE,FALSE
66,net.sf.jmoney.gui,AccountEntriesPanel.EntryCellRenderer,getListCellRendererComponent(JList;Object;int;boolean;boolean),17,2,15,0,FALSE,FALSE,FALSE,TRUE
67,org.javacc.utils,JavaFileGenerator,JavaFileGenerator(String;Map),4,1,0,1,FALSE,FALSE,FALSE,FALSE
68,org.javacc.utils,JavaFileGenerator,generate(PrintWriter),8,2,0,1,FALSE,FALSE,TRUE,FALSE
69,org.javacc.utils,JavaFileGenerator,peekLine(BufferedReader),7,2,0,1,FALSE,FALSE,FALSE,FALSE
70,org.javacc.utils,JavaFileGenerator,getLine(BufferedReader),10,2,0,1,FALSE,FALSE,FALSE,FALSE
71,org.javacc.utils,JavaFileGenerator,evaluate(String),23,4,0,1,FALSE,FALSE,FALSE,FALSE
72,org.javacc.jjdoc,JJDoc,emitTokenProductions(Generator;List),50,11,10,0,FALSE,FALSE,FALSE,TRUE
73,net.sourceforge.jsxe.gui,OptionsDialog,OptionsDialog(Frame;String;String;String),5,1,0,0,FALSE,FALSE,FALSE,FALSE
74,net.sourceforge.jsxe.gui,OptionsDialog,OptionsDialog(Dialog;String;String;String),5,1,0,0,FALSE,FALSE,TRUE,FALSE
75,net.sourceforge.jsxe.gui,OptionsDialog,addOptionGroup(OptionGroup),4,1,0,0,FALSE,FALSE,FALSE,FALSE
76,net.sourceforge.jsxe.gui,OptionsDialog,addOptionPane(OptionPane),4,1,0,0,FALSE,FALSE,FALSE,FALSE
77,net.sourceforge.jsxe.gui,OptionsDialog,ok(),5,1,1,1,FALSE,FALSE,FALSE,FALSE
78,net.sourceforge.jsxe.dom,DOMSerializer,rSerializeNode(Writer;Node;String;String;int;int;int),402,72,9,0.25,TRUE,TRUE,TRUE,TRUE
79,org.junit.internal.builders,JUnit3Builder,runnerForClass(Class),6,2,0,0,FALSE,FALSE,FALSE,FALSE
80,org.junit.internal.builders,IgnoredBuilder,runnerForClass(Class),6,2,0,0,FALSE,FALSE,FALSE,FALSE
81,org.displaytag.decorator,CheckboxTableDecorator,setId(String),4,1,0,1,FALSE,FALSE,TRUE,FALSE
82,org.displaytag.decorator,CheckboxTableDecorator,setFieldName(String),4,1,0,1,FALSE,FALSE,FALSE,FALSE
83,org.displaytag.decorator,CheckboxTableDecorator,init(PageContext;Object;TableModel),6,1,0,1,FALSE,FALSE,FALSE,FALSE
84,org.displaytag.decorator,CheckboxTableDecorator,finish(),29,4,0,1,FALSE,FALSE,FALSE,FALSE
85,org.displaytag.util,HtmlTagUtil,abbreviateHtmlString(String;int;boolean),160,31,0,0,TRUE,TRUE,TRUE,FALSE
86,com.adventnet.jmx,ObjectInputStreamSupport,ObjectInputStreamSupport(InputStream;ClassLoader),6,1,0,1,FALSE,FALSE,FALSE,FALSE
87,com.adventnet.jmx,ObjectInputStreamSupport,resolveClass(ObjectStreamClass),8,2,0,1,FALSE,FALSE,FALSE,FALSE
88,com.adventnet.jmx,DefaultDynamicMBean,getStandardMBeanObject(),4,1,0,1,FALSE,FALSE,FALSE,FALSE
89,com.adventnet.jmx,DefaultDynamicMBean,makeMBeanInfo(),12,1,0,1,FALSE,FALSE,FALSE,FALSE
90,com.adventnet.jmx,DefaultDynamicMBean,invoke(String;Object[];String[]),244,50,4,0.333333,TRUE,TRUE,TRUE,TRUE
91,com.adventnet.jmx,MBeanServerImpl,createMBean(String;ObjectName;Object[];String[]),120,19,1,0.5,TRUE,TRUE,TRUE,FALSE
92,org.quickserver.util.io,ByteBufferOutputStream,setDebug(boolean),6,2,0,1,FALSE,FALSE,FALSE,FALSE
93,org.quickserver.util.io,ByteBufferOutputStream,isLoggable(Level),3,1,0,1,FALSE,FALSE,FALSE,FALSE
94,org.quickserver.util.io,ByteBufferOutputStream,ByteBufferOutputStream(ArrayList;ClientHandler),6,3,0,1,FALSE,FALSE,FALSE,FALSE
95,org.quickserver.util.io,ByteBufferOutputStream,close(),5,2,0,1,FALSE,FALSE,FALSE,FALSE
